,event_type,details_api,title,location,image
77,entertainment,https://tik8.com/event/پرش-در-آسمان-نهج-البلاغه/,پرش در آسمان نهج البلاغه,بوستان نهج البلاغه,https://mno.tik8.com/thumbnail/2019-7/01475420-a0ae-11e9-91b1-618a9d83465d.jpg
78,entertainment,https://tik8.com/event/سافاری-وحشت-نهج-البلاغه/,سافاری وحشت نهج البلاغه,بوستان نهج البلاغه,https://mno.tik8.com/thumbnail/2019-7/ea896dd0-a0a4-11e9-9dab-6d999f2a5a87.jpg
79,entertainment,https://tik8.com/event/راپل-نهج-البلاغه/,راپل نهج البلاغه,بوستان نهج البلاغه,https://mno.tik8.com/thumbnail/2019-7/8b400850-a0af-11e9-b89a-bdd5e2a2940c.jpg
80,entertainment,https://tik8.com/event/البرز-پاراگلایدر/,البرز پاراگلایدر,مجموعه پاراگلایدر البرز,https://mno.tik8.com/thumbnail/2019-7/1d3945c0-9e2d-11e9-af68-95314a3f34b8.jpg
81,entertainment,https://tik8.com/event/پرواز-پاراگلایدر-با-خلبان-خدایاری/,پرواز پاراگلایدر با خلبان خدایاری,مجموعه پاراگلایدر تهران پارا,https://mno.tik8.com/thumbnail/2019-7/37410f90-b2a3-11e9-a819-8fd14f97c3a1.jpg
82,entertainment,https://tik8.com/event/پرواز-پاراگلایدر-با-خلبان-بدری/,پرواز پاراگلایدر با خلبان بدری,مجموعه پاراگلایدر بدری,https://mno.tik8.com/thumbnail/2019-7/89d49760-ad1f-11e9-b159-b7f286b63ada.jpg
83,Cultural-Heritage,https://tik8.com/event/مجموعه-جهانی-تخت-جمشید/,مجموعه جهانی تخت جمشید,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/c43c3a50-02c1-11ea-b621-b9f45e67ee7c.jpg
84,Cultural-Heritage,https://tik8.com/event/بازدید-از-بیستون-کرمانشاه/,میراث جهانی بیستون,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/2d84ec20-fee8-11e9-bc8e-4b733931de02.jpg
85,Cultural-Heritage,https://tik8.com/event/عمارت-عالی-قاپو/,عمارت عالی قاپو,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/678fc410-0866-11ea-92b1-c9426e64b5fc.jpg
86,Cultural-Heritage,https://tik8.com/event/ارگ-بم/,ارگ بم,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/a62b12f0-084f-11ea-9330-d9ba19a588b1.jpg
87,Cultural-Heritage,https://tik8.com/event/بازدید-از-آرامگاه-فردوسی-مشهد/,آرامگاه فردوسی,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/e972ce60-fef4-11e9-a8cb-e9759567103d.jpg
88,Cultural-Heritage,https://tik8.com/event/مجموعه-فرهنگی،-تاریخی-سعد-آباد/,مجموعه فرهنگی، تاریخی سعد آباد,"از 5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/d54fae60-02c7-11ea-8a25-37ff8c1de8f4.jpg
89,Cultural-Heritage,https://tik8.com/event/مجموعه-جهانی-پاسارگاد/,مجموعه جهانی پاسارگاد,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/65824060-0610-11ea-b4ce-15d92b8fa5c3.jpg
90,Cultural-Heritage,https://tik8.com/event/آرامگاه-باباطاهر/,آرامگاه باباطاهر,"4,000 تومان",https://mno.tik8.com/thumbnail/2019-11/47f13980-0850-11ea-95ea-1169b7699029.jpg
91,Cultural-Heritage,https://tik8.com/event/مجموعه-جهانی-کاخ-گلستان/,مجموعه جهانی کاخ گلستان,"از 5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/53ee8d80-084d-11ea-95fb-915579f90d12.jpg
92,Cultural-Heritage,https://tik8.com/event/بازدید-از-آرامگاه-حافظ-شیراز/,مجموعه فرهنگی - تاریخی حافظ,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/77ab8490-fedb-11e9-9400-877a6538ce31.jpg
93,Cultural-Heritage,https://tik8.com/event/میراث-جهانی-گنبد-قابوس/,میراث جهانی گنبد قابوس,"5,000 تومان",https://mno.tik8.com/thumbnail/2020-1/ed05e3c0-2c6b-11ea-9c82-d9b316b940c3.jpg
94,Cultural-Heritage,https://tik8.com/event/موزه-سنندج/,موزه سنندج,"4,000 تومان",https://mno.tik8.com/thumbnail/2019-11/27c86cb0-fef6-11e9-8a54-775f49af91e3.jpg
95,Cultural-Heritage,https://tik8.com/event/خانه-کرد/,خانه کرد,"3,000 تومان",https://mno.tik8.com/thumbnail/2019-11/49be3800-fef6-11e9-b05f-b591525bcc5a.jpg
96,Cultural-Heritage,https://tik8.com/event/موزه-مشروطه/,موزه مشروطه,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/5a9390c0-fef6-11e9-b25b-b59db3b67079.jpg
97,Cultural-Heritage,https://tik8.com/event/گنبد-سلطانیه/,گنبد سلطانیه,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/65763170-fef6-11e9-aeb7-4f03bf7d37b2.jpg
98,Cultural-Heritage,https://tik8.com/event/موزه-باستان-شناسی-مردان-نمکی-زنجان/,موزه باستان شناسی مردان نمکی زنجان,"4,000 تومان",https://mno.tik8.com/thumbnail/2019-11/74bb9890-fef6-11e9-bb96-474cc6fe1566.jpg
99,Cultural-Heritage,https://tik8.com/event/مجموعه-میراث-جهانی-تخت-سلیمان/,مجموعه میراث جهانی تخت سلیمان,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/90a9df20-fef6-11e9-a2f4-6b6ee0f507fe.jpg
100,Cultural-Heritage,https://tik8.com/event/مجموعه-جهانی-بقعه-شیخ-صفی-الدین-اردبیلی/,مجموعه جهانی بقعه شیخ صفی الدین اردبیلی,"9,000 تومان",https://mno.tik8.com/thumbnail/2019-11/a2f78670-fef6-11e9-a834-d18c61aff34e.jpg
101,Cultural-Heritage,https://tik8.com/event/موزه-قاجار/,موزه قاجار,"5,000 تومان",https://mno.tik8.com/thumbnail/2019-11/aeda30a0-fef6-11e9-967a-af73ba727dce.jpg
102,Cultural-Heritage,https://tik8.com/event/مجموعه-جهانی-میراث-قره-کلیسا/,مجموعه جهانی میراث قره کلیسا,5.000 تومان,https://mno.tik8.com/thumbnail/2019-11/bb187670-fef6-11e9-8f08-b7b4e8143063.jpg
103,Cultural-Heritage,https://tik8.com/event/خانه-لاری-ها/,خانه لاری ها,"3,000 تومان",https://mno.tik8.com/thumbnail/2019-11/1ef26110-05e7-11ea-831b-a52863043499.jpg
